method,size,lambda,depth,dataset,B,accuracy,distortion,dim,aspectRatio,blocks
qsr,117224667,2,10,../datasets/mnist,2.13602,0.2108,1.1523,784,0,2
qsr,172894608,3,10,../datasets/mnist,3.15041,0.5259,1.0382,784,0,2
qsr,227759864,4,10,../datasets/mnist,4.15014,0.752,1.00929,784,0,2
qsr,282279823,5,10,../datasets/mnist,5.14358,0.89,1.0015,784,0,2
qsr,337302022,6,10,../datasets/mnist,6.14617,0.9447,1.00034,784,0,2
qsr,392158571,7,10,../datasets/mnist,7.14575,0.9742,1.00007,784,0,2
qsr,447179209,8,10,../datasets/mnist,8.14831,0.9869,1.00002,784,0,2
qsr,501841731,9,10,../datasets/mnist,9.14435,0.9918,1.00001,784,0,2
qsr,44071893,1,2,../datasets/mnist,0.803059,0.1179,1.24498,784,0,4
qsr,59744629,1,3,../datasets/mnist,1.08864,0.0753,1.31786,784,0,4
qsr,94059694,2,3,../datasets/mnist,1.71392,0.3012,1.09714,784,0,4
qsr,66367442,1,4,../datasets/mnist,1.20932,0.0651,1.34117,784,0,4
qsr,111938548,2,4,../datasets/mnist,2.0397,0.274,1.11028,784,0,4
qsr,146145902,3,4,../datasets/mnist,2.66301,0.569,1.02744,784,0,4
qsr,68623151,1,5,../datasets/mnist,1.25042,0.0624,1.33267,784,0,4
qsr,119948747,2,5,../datasets/mnist,2.18566,0.2396,1.12377,784,0,4
qsr,165535132,3,5,../datasets/mnist,3.01631,0.564,1.02903,784,0,4
qsr,201187283,4,5,../datasets/mnist,3.66595,0.7768,1.00614,784,0,4
qsr,69922721,1,6,../datasets/mnist,1.2741,0.0648,1.33949,784,0,4
qsr,123084023,2,6,../datasets/mnist,2.24278,0.2568,1.11368,784,0,4
qsr,173833049,3,6,../datasets/mnist,3.16751,0.5477,1.02996,784,0,4
qsr,219643607,4,6,../datasets/mnist,4.00225,0.7946,1.00565,784,0,4
qsr,254134429,5,6,../datasets/mnist,4.63073,0.8987,1.00118,784,0,4
qsr,70400995,1,7,../datasets/mnist,1.28282,0.0635,1.33777,784,0,4
qsr,124344450,2,7,../datasets/mnist,2.26575,0.2701,1.11136,784,0,4
qsr,176379438,3,7,../datasets/mnist,3.21391,0.5556,1.03072,784,0,4
qsr,227113267,4,7,../datasets/mnist,4.13836,0.7994,1.00516,784,0,4
qsr,273353443,5,7,../datasets/mnist,4.98093,0.8967,1.00115,784,0,4
qsr,305781936,6,7,../datasets/mnist,5.57183,0.9492,1.00025,784,0,4
qsr,71239077,1,8,../datasets/mnist,1.29809,0.0637,1.34318,784,0,4
qsr,123933523,2,8,../datasets/mnist,2.25826,0.2764,1.10947,784,0,4
qsr,177793756,3,8,../datasets/mnist,3.23968,0.5507,1.03008,784,0,4
qsr,230175539,4,8,../datasets/mnist,4.19416,0.8006,1.00513,784,0,4
qsr,281513692,5,8,../datasets/mnist,5.12962,0.9085,1.00091,784,0,4
qsr,326295259,6,8,../datasets/mnist,5.94561,0.9533,1.00022,784,0,4
qsr,362051143,7,8,../datasets/mnist,6.59714,0.9748,1.00007,784,0,4
qsr,72323028,1,9,../datasets/mnist,1.31784,0.0582,1.34811,784,0,4
qsr,125161169,2,9,../datasets/mnist,2.28063,0.2562,1.11567,784,0,4
qsr,178114241,3,9,../datasets/mnist,3.24552,0.5645,1.02827,784,0,4
qsr,231880518,4,9,../datasets/mnist,4.22523,0.8006,1.00489,784,0,4
qsr,284213952,5,9,../datasets/mnist,5.17883,0.906,1.00101,784,0,4
qsr,334971867,6,9,../datasets/mnist,6.10371,0.9544,1.00021,784,0,4
qsr,380631275,7,9,../datasets/mnist,6.9357,0.9787,1.00005,784,0,4
qsr,415551813,8,9,../datasets/mnist,7.57201,0.988,1.00002,784,0,4
qsr,72491765,1,10,../datasets/mnist,1.32091,0.0648,1.32974,784,0,4
qsr,125560548,2,10,../datasets/mnist,2.28791,0.2642,1.11222,784,0,4
qsr,178633389,3,10,../datasets/mnist,3.25498,0.5627,1.02854,784,0,4
qsr,232121549,4,10,../datasets/mnist,4.22962,0.7973,1.00536,784,0,4
qsr,285210430,5,10,../datasets/mnist,5.19698,0.9049,1.001,784,0,4
qsr,337634120,6,10,../datasets/mnist,6.15223,0.9532,1.00024,784,0,4
qsr,388994151,7,10,../datasets/mnist,7.08809,0.9778,1.00005,784,0,4
qsr,434810239,8,10,../datasets/mnist,7.92293,0.988,1.00001,784,0,4
qsr,468719287,9,10,../datasets/mnist,8.5408,0.9944,1,784,0,4
qsr,33493107,1,2,../datasets/mnist,0.610297,0.2621,1.12202,784,0,8
qsr,50941525,1,3,../datasets/mnist,0.928235,0.1785,1.16674,784,0,8
qsr,70599568,2,3,../datasets/mnist,1.28644,0.4083,1.05859,784,0,8
qsr,61598242,1,4,../datasets/mnist,1.12242,0.1433,1.20031,784,0,8
qsr,93627440,2,4,../datasets/mnist,1.70604,0.3774,1.06565,784,0,8
qsr,112946108,3,4,../datasets/mnist,2.05806,0.67,1.01465,784,0,8
qsr,65241179,1,5,../datasets/mnist,1.1888,0.1497,1.19741,784,0,8
qsr,105305363,2,5,../datasets/mnist,1.91883,0.3683,1.07053,784,0,8
qsr,137549257,3,5,../datasets/mnist,2.50636,0.6565,1.01608,784,0,8
qsr,157054829,4,5,../datasets/mnist,2.86179,0.8296,1.0034,784,0,8
qsr,67453734,1,6,../datasets/mnist,1.22911,0.14,1.20189,784,0,8
qsr,109401733,2,6,../datasets/mnist,1.99347,0.4277,1.05297,784,0,8
qsr,149780104,3,6,../datasets/mnist,2.72923,0.648,1.01751,784,0,8
qsr,181662479,4,6,../datasets/mnist,3.31018,0.8452,1.00278,784,0,8
qsr,201563812,5,6,../datasets/mnist,3.67281,0.9214,1.00068,784,0,8
qsr,68883882,1,7,../datasets/mnist,1.25517,0.1344,1.2111,784,0,8
qsr,112600756,2,7,../datasets/mnist,2.05176,0.3647,1.07027,784,0,8
qsr,154045052,3,7,../datasets/mnist,2.80694,0.6648,1.01541,784,0,8
qsr,194003876,4,7,../datasets/mnist,3.53506,0.8622,1.00228,784,0,8
qsr,225678870,5,7,../datasets/mnist,4.11222,0.9313,1.00056,784,0,8
qsr,244330642,6,7,../datasets/mnist,4.45209,0.9662,1.00013,784,0,8
qsr,70245283,1,8,../datasets/mnist,1.27998,0.1262,1.2161,784,0,8
qsr,114225910,2,8,../datasets/mnist,2.08138,0.381,1.06604,784,0,8
qsr,156871050,3,8,../datasets/mnist,2.85844,0.6714,1.0145,784,0,8
qsr,198896752,4,8,../datasets/mnist,3.62421,0.863,1.0023,784,0,8
qsr,238597280,5,8,../datasets/mnist,4.34762,0.9332,1.00047,784,0,8
qsr,270587268,6,8,../datasets/mnist,4.93053,0.9657,1.00012,784,0,8
qsr,290135345,7,8,../datasets/mnist,5.28672,0.9802,1.00004,784,0,8
qsr,71517408,1,9,../datasets/mnist,1.30316,0.1333,1.21172,784,0,8
qsr,115116106,2,9,../datasets/mnist,2.0976,0.3979,1.0609,784,0,8
qsr,158703101,3,9,../datasets/mnist,2.89182,0.678,1.01389,784,0,8
qsr,201424255,4,9,../datasets/mnist,3.67027,0.8681,1.00208,784,0,8
qsr,243509204,5,9,../datasets/mnist,4.43712,0.9351,1.00049,784,0,8
qsr,283116786,6,9,../datasets/mnist,5.15883,0.9692,1.0001,784,0,8
qsr,314873020,7,9,../datasets/mnist,5.73748,0.984,1.00003,784,0,8
qsr,335518731,8,9,../datasets/mnist,6.11368,0.9899,1.00001,784,0,8
qsr,72574339,1,10,../datasets/mnist,1.32242,0.1381,1.20327,784,0,8
qsr,116352159,2,10,../datasets/mnist,2.12012,0.4055,1.05977,784,0,8
qsr,159906626,3,10,../datasets/mnist,2.91375,0.6838,1.01374,784,0,8
qsr,203062540,4,10,../datasets/mnist,3.70012,0.8671,1.00197,784,0,8
qsr,246832395,5,10,../datasets/mnist,4.49767,0.9307,1.0005,784,0,8
qsr,288954238,6,10,../datasets/mnist,5.2652,0.9652,1.00012,784,0,8
qsr,328346758,7,10,../datasets/mnist,5.98299,0.9837,1.00003,784,0,8
qsr,359720935,8,10,../datasets/mnist,6.55468,0.9913,1.00001,784,0,8
qsr,378466352,9,10,../datasets/mnist,6.89625,0.9962,1,784,0,8
qsr,22715841,1,2,../datasets/mnist,0.413918,0.2943,1.10366,784,0,16
qsr,41330836,1,3,../datasets/mnist,0.753113,0.3553,1.07604,784,0,16
qsr,46239099,2,3,../datasets/mnist,0.842549,0.5226,1.03574,784,0,16
qsr,57144386,1,4,../datasets/mnist,1.04126,0.3649,1.07385,784,0,16
qsr,73880090,2,4,../datasets/mnist,1.34621,0.6258,1.01966,784,0,16
qsr,77579712,3,4,../datasets/mnist,1.41362,0.7438,1.00854,784,0,16
qsr,69507641,1,5,../datasets/mnist,1.26654,0.3782,1.06873,784,0,16
qsr,97539137,2,5,../datasets/mnist,1.77732,0.6582,1.01599,784,0,16
qsr,113223348,3,5,../datasets/mnist,2.06311,0.829,1.00352,784,0,16
qsr,118204618,4,5,../datasets/mnist,2.15387,0.8758,1.00187,784,0,16
qsr,76458096,1,6,../datasets/mnist,1.39319,0.3631,1.074,784,0,16
qsr,111856990,2,6,../datasets/mnist,2.03821,0.657,1.01699,784,0,16
qsr,139119690,3,6,../datasets/mnist,2.53498,0.8441,1.00287,784,0,16
qsr,155766534,4,6,../datasets/mnist,2.83831,0.9122,1.00087,784,0,16
qsr,161574492,5,6,../datasets/mnist,2.94414,0.9356,1.00047,784,0,16
qsr,79326640,1,7,../datasets/mnist,1.44546,0.3613,1.07624,784,0,16
qsr,119058014,2,7,../datasets/mnist,2.16942,0.6703,1.01576,784,0,16
qsr,154039654,3,7,../datasets/mnist,2.80685,0.8425,1.00311,784,0,16
qsr,181379882,4,7,../datasets/mnist,3.30503,0.9287,1.00056,784,0,16
qsr,198388060,5,7,../datasets/mnist,3.61494,0.9542,1.00023,784,0,16
qsr,202484710,6,7,../datasets/mnist,3.68959,0.9677,1.00012,784,0,16
qsr,81350234,1,8,../datasets/mnist,1.48233,0.3762,1.06893,784,0,16
qsr,122254914,2,8,../datasets/mnist,2.22768,0.6511,1.01709,784,0,16
qsr,161495684,3,8,../datasets/mnist,2.94271,0.8379,1.00331,784,0,16
qsr,196365246,4,8,../datasets/mnist,3.57808,0.9281,1.00061,784,0,16
qsr,223832206,5,8,../datasets/mnist,4.07858,0.9638,1.00014,784,0,16
qsr,239977780,6,8,../datasets/mnist,4.37277,0.979,1.00005,784,0,16
qsr,244501426,7,8,../datasets/mnist,4.4552,0.9835,1.00003,784,0,16
qsr,83257178,1,9,../datasets/mnist,1.51708,0.3726,1.07314,784,0,16
qsr,124252948,2,9,../datasets/mnist,2.26408,0.6753,1.01476,784,0,16
qsr,164433578,3,9,../datasets/mnist,2.99624,0.8572,1.00263,784,0,16
qsr,203664416,4,9,../datasets/mnist,3.71109,0.9347,1.00053,784,0,16
qsr,238892776,5,9,../datasets/mnist,4.353,0.9651,1.00013,784,0,16
qsr,266571317,6,9,../datasets/mnist,4.85735,0.982,1.00004,784,0,16
qsr,282861330,7,9,../datasets/mnist,5.15418,0.9912,1.00001,784,0,16
qsr,288820395,8,9,../datasets/mnist,5.26276,0.9915,1.00001,784,0,16
qsr,85733375,1,10,../datasets/mnist,1.5622,0.3571,1.07736,784,0,16
qsr,126385508,2,10,../datasets/mnist,2.30294,0.6502,1.01801,784,0,16
qsr,166625784,3,10,../datasets/mnist,3.03618,0.8501,1.00268,784,0,16
qsr,207143368,4,10,../datasets/mnist,3.77448,0.9259,1.00061,784,0,16
qsr,246406440,5,10,../datasets/mnist,4.48991,0.9676,1.00013,784,0,16
qsr,281418322,6,10,../datasets/mnist,5.12788,0.9848,1.00003,784,0,16
qsr,308482644,7,10,../datasets/mnist,5.62104,0.9915,1.00001,784,0,16
qsr,325177310,8,10,../datasets/mnist,5.92524,0.9952,1,784,0,16
qsr,330599500,9,10,../datasets/mnist,6.02404,0.9961,1,784,0,16
qsr,38187497,1,2,../datasets/mnist,0.695836,0.1762,1.17337,784,0,7
qsr,52310310,1,3,../datasets/mnist,0.953176,0.1378,1.2141,784,0,7
qsr,76663346,2,3,../datasets/mnist,1.39693,0.3423,1.07665,784,0,7
qsr,60687593,1,4,../datasets/mnist,1.10582,0.1343,1.20942,784,0,7
qsr,95282869,2,4,../datasets/mnist,1.7362,0.3452,1.07592,784,0,7
qsr,119769000,3,4,../datasets/mnist,2.18238,0.6145,1.02061,784,0,7
qsr,64850941,1,5,../datasets/mnist,1.18169,0.1138,1.23447,784,0,7
qsr,106324199,2,5,../datasets/mnist,1.93739,0.3195,1.08292,784,0,7
qsr,140755149,3,5,../datasets/mnist,2.56478,0.6316,1.01839,784,0,7
qsr,163547952,4,5,../datasets/mnist,2.9801,0.8315,1.00339,784,0,7
qsr,66971457,1,6,../datasets/mnist,1.22033,0.1055,1.2434,784,0,7
qsr,110167315,2,6,../datasets/mnist,2.00742,0.3504,1.0748,784,0,7
qsr,151518040,3,6,../datasets/mnist,2.7609,0.6286,1.01877,784,0,7
qsr,184772231,4,6,../datasets/mnist,3.36684,0.845,1.00283,784,0,7
qsr,209414902,5,6,../datasets/mnist,3.81587,0.9187,1.00073,784,0,7
qsr,68276074,1,7,../datasets/mnist,1.2441,0.117,1.23311,784,0,7
qsr,112510597,2,7,../datasets/mnist,2.05012,0.3446,1.07529,784,0,7
qsr,155653722,3,7,../datasets/mnist,2.83626,0.6137,1.02083,784,0,7
qsr,196583730,4,7,../datasets/mnist,3.58207,0.8457,1.00289,784,0,7
qsr,230508704,5,7,../datasets/mnist,4.20023,0.9244,1.00062,784,0,7
qsr,254064624,6,7,../datasets/mnist,4.62946,0.9612,1.00018,784,0,7
qsr,68850558,1,8,../datasets/mnist,1.25457,0.1199,1.23159,784,0,7
qsr,113698554,2,8,../datasets/mnist,2.07177,0.3188,1.08668,784,0,7
qsr,157615537,3,8,../datasets/mnist,2.872,0.6547,1.01638,784,0,7
qsr,200734673,4,8,../datasets/mnist,3.6577,0.8408,1.00315,784,0,7
qsr,241777634,5,8,../datasets/mnist,4.40557,0.9293,1.00057,784,0,7
qsr,276051858,6,8,../datasets/mnist,5.0301,0.9589,1.00017,784,0,7
qsr,299518311,7,8,../datasets/mnist,5.4577,0.9796,1.00005,784,0,7
qsr,69619203,1,9,../datasets/mnist,1.26857,0.1091,1.24278,784,0,7
qsr,113976455,2,9,../datasets/mnist,2.07683,0.3655,1.07033,784,0,7
qsr,158851471,3,9,../datasets/mnist,2.89452,0.6296,1.01917,784,0,7
qsr,202972013,4,9,../datasets/mnist,3.69847,0.8445,1.00289,784,0,7
qsr,245948387,5,9,../datasets/mnist,4.48157,0.9267,1.0006,784,0,7
qsr,286962983,6,9,../datasets/mnist,5.22892,0.964,1.00013,784,0,7
qsr,321396254,7,9,../datasets/mnist,5.85635,0.9811,1.00004,784,0,7
qsr,343674223,8,9,../datasets/mnist,6.26229,0.9901,1.00001,784,0,7
qsr,70641813,1,10,../datasets/mnist,1.28721,0.1123,1.23794,784,0,7
qsr,115233960,2,10,../datasets/mnist,2.09974,0.3501,1.07586,784,0,7
qsr,159794695,3,10,../datasets/mnist,2.91171,0.6282,1.01904,784,0,7
qsr,204432528,4,10,../datasets/mnist,3.72508,0.8414,1.00297,784,0,7
qsr,248615249,5,10,../datasets/mnist,4.53016,0.9234,1.00065,784,0,7
qsr,291447722,6,10,../datasets/mnist,5.31064,0.9625,1.00014,784,0,7
qsr,332206977,7,10,../datasets/mnist,6.05333,0.9841,1.00003,784,0,7
qsr,366837588,8,10,../datasets/mnist,6.68436,0.993,1.00001,784,0,7
qsr,389662633,9,10,../datasets/mnist,7.10027,0.995,1,784,0,7
qsr,23922402,1,2,../datasets/mnist,0.435904,0.3074,1.09931,784,0,14
qsr,42237442,1,3,../datasets/mnist,0.769633,0.3347,1.08543,784,0,14
qsr,49694483,2,3,../datasets/mnist,0.905512,0.5039,1.03834,784,0,14
qsr,58405709,1,4,../datasets/mnist,1.06424,0.3526,1.07739,784,0,14
qsr,78435817,2,4,../datasets/mnist,1.42922,0.5891,1.02426,784,0,14
qsr,85927147,3,4,../datasets/mnist,1.56573,0.7349,1.00932,784,0,14
qsr,70473230,1,5,../datasets/mnist,1.28413,0.308,1.09346,784,0,14
qsr,101081198,2,5,../datasets/mnist,1.84186,0.638,1.01888,784,0,14
qsr,120290181,3,5,../datasets/mnist,2.19188,0.8117,1.00453,784,0,14
qsr,128047794,4,5,../datasets/mnist,2.33323,0.8717,1.00199,784,0,14
qsr,75028248,1,6,../datasets/mnist,1.36713,0.3189,1.08795,784,0,14
qsr,113350381,2,6,../datasets/mnist,2.06542,0.62,1.02085,784,0,14
qsr,143688543,3,6,../datasets/mnist,2.61823,0.8233,1.00399,784,0,14
qsr,162672628,4,6,../datasets/mnist,2.96415,0.9145,1.00085,784,0,14
qsr,170781417,5,6,../datasets/mnist,3.11191,0.9316,1.00049,784,0,14
qsr,76963710,1,7,../datasets/mnist,1.4024,0.303,1.09459,784,0,14
qsr,118036290,2,7,../datasets/mnist,2.15081,0.6305,1.02027,784,0,14
qsr,156162349,3,7,../datasets/mnist,2.84552,0.8185,1.0043,784,0,14
qsr,186943280,4,7,../datasets/mnist,3.4064,0.9136,1.00087,784,0,14
qsr,205515259,5,7,../datasets/mnist,3.74481,0.9578,1.0002,784,0,14
qsr,212253959,6,7,../datasets/mnist,3.8676,0.9706,1.00011,784,0,14
qsr,78536900,1,8,../datasets/mnist,1.43107,0.3236,1.08986,784,0,14
qsr,119819314,2,8,../datasets/mnist,2.1833,0.6258,1.0204,784,0,14
qsr,160912903,3,8,../datasets/mnist,2.93209,0.8191,1.00414,784,0,14
qsr,198854336,4,8,../datasets/mnist,3.62344,0.9209,1.00076,784,0,14
qsr,229266804,5,8,../datasets/mnist,4.1776,0.9587,1.00018,784,0,14
qsr,248561926,6,8,../datasets/mnist,4.52919,0.9785,1.00005,784,0,14
qsr,255121516,7,8,../datasets/mnist,4.64872,0.984,1.00003,784,0,14
qsr,79917818,1,9,../datasets/mnist,1.45623,0.3108,1.09242,784,0,14
qsr,121449808,2,9,../datasets/mnist,2.21301,0.6471,1.01826,784,0,14
qsr,162562407,3,9,../datasets/mnist,2.96214,0.8361,1.00339,784,0,14
qsr,203828321,4,9,../datasets/mnist,3.71407,0.9144,1.00083,784,0,14
qsr,241491254,5,9,../datasets/mnist,4.40035,0.961,1.00017,784,0,14
qsr,271842383,6,9,../datasets/mnist,4.9534,0.9808,1.00004,784,0,14
qsr,291509096,7,9,../datasets/mnist,5.31175,0.9881,1.00002,784,0,14
qsr,298587692,8,9,../datasets/mnist,5.44074,0.9922,1.00001,784,0,14
qsr,82089722,1,10,../datasets/mnist,1.4958,0.3082,1.09688,784,0,14
qsr,123115774,2,10,../datasets/mnist,2.24336,0.6209,1.02083,784,0,14
qsr,164655411,3,10,../datasets/mnist,3.00028,0.8108,1.00477,784,0,14
qsr,205646829,4,10,../datasets/mnist,3.74721,0.9175,1.00082,784,0,14
qsr,246529241,5,10,../datasets/mnist,4.49215,0.9613,1.00016,784,0,14
qsr,284421918,6,10,../datasets/mnist,5.18262,0.9796,1.00004,784,0,14
qsr,314717573,7,10,../datasets/mnist,5.73465,0.9907,1.00001,784,0,14
qsr,334801299,8,10,../datasets/mnist,6.10061,0.9945,1,784,0,14
qsr,341563293,9,10,../datasets/mnist,6.22382,0.9961,1,784,0,14
qsr,22110071,1,2,../datasets/mnist,0.40288,0.3578,1.0835,784,0,28
qsr,33987744,1,3,../datasets/mnist,0.61931,0.4967,1.04158,784,0,28
qsr,35117065,2,3,../datasets/mnist,0.639888,0.5419,1.03346,784,0,28
qsr,52832293,1,4,../datasets/mnist,0.962688,0.5968,1.02583,784,0,28
qsr,58048226,2,4,../datasets/mnist,1.05773,0.7381,1.00904,784,0,28
qsr,58774800,3,4,../datasets/mnist,1.07097,0.7567,1.00794,784,0,28
qsr,70580586,1,5,../datasets/mnist,1.28609,0.6282,1.02193,784,0,28
qsr,85711416,2,5,../datasets/mnist,1.5618,0.815,1.00431,784,0,28
qsr,90457248,3,5,../datasets/mnist,1.64827,0.8708,1.00195,784,0,28
qsr,91021020,4,5,../datasets/mnist,1.65855,0.8762,1.00195,784,0,28
qsr,86806604,1,6,../datasets/mnist,1.58175,0.638,1.02086,784,0,28
qsr,110718535,2,6,../datasets/mnist,2.01747,0.841,1.00334,784,0,28
qsr,125893346,3,6,../datasets/mnist,2.29397,0.9185,1.00082,784,0,28
qsr,130271588,4,6,../datasets/mnist,2.37375,0.936,1.00046,784,0,28
qsr,131219591,5,6,../datasets/mnist,2.39103,0.9402,1.0004,784,0,28
qsr,95930888,1,7,../datasets/mnist,1.74801,0.6345,1.02246,784,0,28
qsr,129995048,2,7,../datasets/mnist,2.36871,0.8428,1.00329,784,0,28
qsr,153791359,3,7,../datasets/mnist,2.80232,0.927,1.00067,784,0,28
qsr,168785573,4,7,../datasets/mnist,3.07554,0.9561,1.0002,784,0,28
qsr,173583996,5,7,../datasets/mnist,3.16297,0.967,1.00011,784,0,28
qsr,174880945,6,7,../datasets/mnist,3.18661,0.9689,1.0001,784,0,28
qsr,100085095,1,8,../datasets/mnist,1.82371,0.6377,1.02139,784,0,28
qsr,139184814,2,8,../datasets/mnist,2.53617,0.8355,1.00361,784,0,28
qsr,172899615,3,8,../datasets/mnist,3.1505,0.9231,1.00073,784,0,28
qsr,196498470,4,8,../datasets/mnist,3.58051,0.9629,1.00016,784,0,28
qsr,211831012,5,8,../datasets/mnist,3.85989,0.9784,1.00005,784,0,28
qsr,216277946,6,8,../datasets/mnist,3.94092,0.9846,1.00003,784,0,28
qsr,217186694,7,8,../datasets/mnist,3.95748,0.9847,1.00002,784,0,28
qsr,103164611,1,9,../datasets/mnist,1.87982,0.6276,1.02323,784,0,28
qsr,143353245,2,9,../datasets/mnist,2.61212,0.8385,1.00347,784,0,28
qsr,181812671,3,9,../datasets/mnist,3.31291,0.9283,1.00062,784,0,28
qsr,215617725,4,9,../datasets/mnist,3.92889,0.9621,1.00016,784,0,28
qsr,239548353,5,9,../datasets/mnist,4.36495,0.9801,1.00004,784,0,28
qsr,254369580,6,9,../datasets/mnist,4.63501,0.9902,1.00001,784,0,28
qsr,259345748,7,9,../datasets/mnist,4.72569,0.9909,1.00001,784,0,28
qsr,259873021,8,9,../datasets/mnist,4.7353,0.9925,1.00001,784,0,28
qsr,107246926,1,10,../datasets/mnist,1.95421,0.6451,1.01978,784,0,28
qsr,146672975,2,10,../datasets/mnist,2.67261,0.834,1.00376,784,0,28
qsr,186220772,3,10,../datasets/mnist,3.39324,0.9254,1.00072,784,0,28
qsr,224910253,4,10,../datasets/mnist,4.09822,0.9631,1.00017,784,0,28
qsr,258439988,5,10,../datasets/mnist,4.70918,0.9814,1.00004,784,0,28
qsr,282104069,6,10,../datasets/mnist,5.14038,0.9911,1.00001,784,0,28
qsr,296822093,7,10,../datasets/mnist,5.40857,0.9947,1,784,0,28
qsr,301608549,8,10,../datasets/mnist,5.49578,0.9961,1,784,0,28
qsr,302518918,9,10,../datasets/mnist,5.51237,0.9963,1,784,0,28
